1551105	1077655		0054391638076	UPC	American Idiot (UK Slimline w/ Alt. Artwork)	Audio	Single	Single	Vinyl 7-inch, 33 rpm	Pop	8/30/2004	Reprise
1550675	1077655	21881	PRO-DVD-101400_1003	Promo Number	American Idiot (101400)	Video	Short Form Video (Single)	Unknown - Video Single	DVD-Video	Pop	8/31/2004	Reprise
1550617	1077655	21881	A10302B0000040090F	GRID	Governator (Non-Album Track)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Pop	9/7/2004	Reprise
1552873	1077655	21881	0093624887829	UPC	American Idiot (Japanese Version)	Audio	Album	Album	Enhanced CD 5-inch	Alternative Rock	9/14/2004	Reprise
1552872	1077655	21881	0093624885023	UPC	American Idiot (Limited Edition)	Audio	Album	Album	Enhanced CD 5-inch	Alternative Rock	9/20/2004	Reprise
1552870	1077655	21881	0093624877721	UPC	American Idiot (Regular Edition)	Audio	Album	Album	Enhanced CD 5-inch	Alternative Rock	9/20/2004	Reprise
1550502	1077655	21881	0093624892526	UPC	American Idiot (Best Buy Exclusive)	Audio	Album	Album	Enhanced CD 5-inch	Alternative Rock	9/21/2004	Reprise
1550504	1077655	21881	0093624890027	UPC	American Idiot (Best Buy Exclusive) (Special Edition)	Audio	Album	Album	Enhanced CD 5-inch	Alternative Rock	9/21/2004	Reprise
1574097	1077655		0093624877745	UPC	American Idiot (Regular Edition)	Audio	Album	Album	Tape Cassette	Alternative Rock	9/21/2004	Reprise
1553707	1077655	21881	0093624877714	UPC	American Idiot (Regular Edition)	Audio	Album	Boxed Set	Vinyl 12-inch, 33 rpm	Alternative Rock	9/21/2004	Reprise
1548176	1077655	21881	A10302B0000042351A	GRID	Holiday/Boulevard Of Broken Dreams (Album Version)	Audio	Full Length Recording (Track)	Track (STEP)	Electronic	Alternative Rock	9/21/2004	Reprise
